timestamp,sign_name,event,status_text
2026-09-23T08:19:28,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T09:28:34,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T09:28:35,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T09:33:13,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T09:33:13,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T10:05:19,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T10:05:19,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T10:21:36,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-23T10:21:36,VMS F West St/Hunger Hill,OTHER_FAULTS_PRESENT,"(('Internal Comms Status', 'Not Acknowledged'), ('LED Fail Critical', 'Not Acknowledged'), ('Luminance Fail', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-24T11:24:06,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-24T11:24:06,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-24T11:34:15,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-24T11:34:15,VMS D New Quay Road,RESOLVED,
2026-09-24T22:34:22,VMS A Blandford Road,STARTED,Not Acknowledged
2026-09-24T22:34:22,VMS C West Street North,STARTED,Not Acknowledged
2026-09-24T22:44:31,VMS A Blandford Road,RESOLVED,
2026-09-24T22:44:31,VMS C West Street North,RESOLVED,
2026-09-25T06:11:15,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-25T06:21:24,VMS D New Quay Road,RESOLVED,
2026-09-25T12:47:11,VMS C West Street North,STARTED,Not Acknowledged
2026-09-25T12:47:26,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-25T12:47:26,VMS D New Quay Road,STARTED,Not Acknowledged
2026-09-25T12:57:51,VMS C West Street North,RESOLVED,
2026-09-25T12:57:51,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
2026-09-25T12:57:51,VMS D New Quay Road,RESOLVED,
2026-09-26T05:42:59,VMS D New Quay Road,OTHER_FAULTS_CLEARED,
2026-09-26T05:53:08,VMS D New Quay Road,OTHER_FAULTS_PRESENT,"(('LED Fail Non Critical', 'Not Acknowledged'), ('Lantern Fail', 'Not Acknowledged'))"
